pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,839.4973707096672
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,840.0438544731617
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.652685739275
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,842.209037412951
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.6611467818892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,840.986332261131
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,839.956793817104
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,840.3755538764918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,840.9226086267125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,841.972439234641
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.3132214673162
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,841.7652631407426
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.0903652421865
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,840.274438690046
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.039864060566
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,841.5086487128855
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,842.6732415583981
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.9838476566447
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,842.4970154068824
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,841.8763344344624
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,840.7960331058338
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,841.4577657509944
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,842.0565289885712
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,843.2988789165432
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,844.1667622270422
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,843.6132538257264
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,842.9268348914358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.5097171544047
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,828.8563612929769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,828.9722872149935
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,830.0261081650307
