load_id,pickup,delivery,distance,equipment,weight,date,actual_rate,predicted_rate,absolute_error,rate_per_mile
TR-040097,Baltimore,Oklahoma City,1760.3,Reefer,29521.0,2025-09-11,20132.37,3802.3118100767842,16330.058189923215,11.436897119809123
TR-040172,Montgomery,Fresno,2283.4,Dry Van,32447.0,2025-09-11,20361.89,4264.466708884127,16097.423291115872,8.917355697643863
TR-043540,Milwaukee,Bakersfield,1893.0,Dry Van,30760.0,2025-10-03,17514.11,3591.8183904075304,13922.29160959247,9.25203909138933
TR-046214,Columbia,Tucson,2023.4,Flatbed,34710.0,2025-10-20,17893.17,4147.233933069375,13745.936066930622,8.84312049026391
TR-047299,Boston,Bakersfield,2979.1,Reefer,30585.0,2025-10-27,19110.3,6015.288672786953,13095.011327213047,6.414789701587728
TR-040323,Montgomery,El Paso,1639.9,Dry Van,38363.0,2025-09-12,14949.25,3217.861261851736,11731.388738148264,9.11595219220684
TR-046517,Toledo,Albuquerque,1684.3,Reefer,31536.0,2025-10-22,14784.38,3635.527422539036,11148.852577460962,8.77775930653684
TR-042882,San Antonio,Detroit,1460.5,Dry Van,43567.0,2025-09-29,13503.63,2837.587753507599,10666.042246492401,9.245895241355699
TR-042150,Grand Rapids,Lubbock,1415.5,Dry Van,35333.0,2025-09-24,13026.22,2793.664562542402,10232.555437457597,9.202557400211939
TR-047537,Los Angeles,Richmond,2782.4,Dry Van,25730.0,2025-10-29,15003.55,4856.462973222916,10147.087026777084,5.39230520414031
TR-046367,Bakersfield,Columbia,2251.9,Dry Van,40729.0,2025-10-21,14403.14,4309.396106105239,10093.74389389476,6.395994493538789
TR-044268,Albany,Albuquerque,2492.6,Dry Van,25513.0,2025-10-08,14425.42,4398.563300520224,10026.856699479777,5.787298403273691
TR-043303,Atlanta,Phoenix,2083.1,Reefer,40335.0,2025-10-01,13894.55,4449.444435084661,9445.105564915339,6.670131054678124
TR-043385,Lexington,Lubbock,1187.0,Dry Van,25359.0,2025-10-02,11696.44,2342.3712890905435,9354.068710909458,9.853782645324348
TR-042736,Jacksonville,Tucson,1943.0,Dry Van,16292.0,2025-09-28,12797.54,3478.9102859632767,9318.629714036724,6.586484817292846
TR-039363,Tulsa,Bakersfield,1477.7,Dry Van,30076.0,2025-09-06,11684.7,2870.5813544074786,8814.118645592522,7.9073560262570215
TR-047587,Corpus Christi,Las Vegas,1383.3,Flatbed,18645.0,2025-10-29,11596.28,2870.350183250903,8725.929816749098,8.383055013373816
TR-044345,Lexington,Albany,1040.0,Dry Van,36569.0,2025-10-08,10566.25,2044.351778955875,8521.898221044125,10.15985576923077
TR-040159,San Francisco,Shreveport,1950.8,Dry Van,40882.0,2025-09-11,12240.81,3874.7944273267494,8366.01557267325,6.27476419930285
TR-043887,Shreveport,Baltimore,1348.4,Reefer,25462.0,2025-10-05,11052.72,2911.8103850800385,8140.909614919961,8.196914862058735
TR-038772,Houston,New York,1543.2,Reefer,40543.0,2025-09-02,11377.49,3396.219315906465,7981.270684093535,7.372660705028512
TR-042646,Boston,Phoenix,3183.8,Dry Van,32231.0,2025-09-27,13420.59,5662.098682155499,7758.491317844501,4.215274200640744
TR-045820,Atlanta,Baltimore,940.4,Dry Van,30598.0,2025-10-18,9522.01,1851.5659307901085,7670.4440692098915,10.12548915355168
TR-039368,Baton Rouge,Grand Rapids,1103.7,Dry Van,22408.0,2025-09-06,9250.6,2040.1073426777994,7210.492657322201,8.381444233034339
